P06748
Q14781
Q14781
Q9P2E3
P10636
Q8NDV7
Q9UKV8
Q9UPQ9
O43561
P62993
Q07889
O75525
P09651
P14866
P38159
P61978
Q04726
Q07666
Q14151
Q15424
Q5VWX1
Q8N163
Q8NEJ9
Q96MU7
Q9BXY0
O43791
O60885
P02545
P03372
P06401
P08621
P09651
P23771
P43243
Q01844
Q07666
Q12888
Q12988
Q13342
Q14103
Q15648
Q5JVS0
Q7Z3E1
Q92804
Q9UER7
P05067
Q16082
B1PRL2
O60563
O60885
P03372
P08047
P20226
P23771
P31271
P35222
P35453
P40763
P46937
P50750
P84022
Q00613
Q01844
Q01860
Q09472
Q13627
Q13950
Q15059
Q15561
Q16198
Q92804
Q9GZV5
Q9Y2X0
O75817
Q6ZN04
Q9H6R0
O43561
O75791
P18031
P42768
Q08881
Q13094
Q13136
Q13402
Q14432
Q495M9
Q6PIF6
Q86SQ0
Q8IUD2
Q8WV28
Q96B97
Q9Y2X7
Q9Y6N9
Q8NBT0
Q8TC44
A8CG34
O60318
P12270
P20592
P49792
P55735
P57740
Q12769
Q14764
Q53GS7
Q8N1F7
Q8TD16
Q8WUM0
Q8WYP5
Q92621
Q96HA1
Q9BW27
Q9BXS6
Q9HC62
Q9NPA8
Q9NR21
Q9NRG9
Q9UKX7
Q96EP5
Q8NDV7
Q96J94
Q9NPI6
Q9UKV8
Q9UPY3
P49711
Q10570
Q14207
Q6UN15
Q9BQA5
Q9P2I0
Q9UKF6
Q9UKL3
Q92945
Q16637
O43313
P14859
P16104
P20226
P35637
P78527
Q06609
Q13315
Q13487
Q13535
Q13547
Q14676
Q16533
Q5SXM2
Q8IUH3
Q92878
Q92966
O43390
O43707
O60506
P05388
P09651
P0DMV8
P0DMV9
P10155
P11142
P11308
P11940
P14866
P19338
P22626
P22626
P23396
P35637
P46781
P60709
P61247
P62241
P62701
P67809
Q00839
Q06787
Q07352
Q07666
Q08211
Q09161
Q12906
Q13148
Q13310
Q14103
Q6IMN6
Q86U42
Q99729
Q9NZI8
Q9UKV8
Q9UPQ9
P35637
Q00994
Q01844
Q13283
Q14444
Q15233
Q17RY0
Q7Z739
Q92804
Q93062
Q9BYJ9
Q9Y224
Q9Y5A9
O00257
O43663
O75530
P49711
Q06587
Q14190
Q6ZN18
Q8IXK0
Q92833
Q99496
Q9BQ52
R4GMX3
O00567
O14746
O14893
O14980
O60832
O94906
O95402
O95453
O95602
P06493
P08579
P08621
P09661
P17480
P22087
P35269
P35637
P49368
P61289
P62304
P62308
P62314
P62316
P63162
P63165
P63267
Q13148
Q14011
Q14207
Q14331
Q14978
Q15020
Q16637
Q5JVS0
Q5W0Q7
Q6IQ16
Q6NT76
Q7L014
Q7Z6G8
Q86TB9
Q8IYM9
Q8N5A5
Q8TEQ6
Q8WWY3
Q8WXD5
Q92793
Q96CJ1
Q96GM8
Q96HW7
Q96JC9
Q96RS0
Q99986
Q9BUR4
Q9GZU8
Q9H089
Q9H244
Q9H633
Q9H840
Q9NPE3
Q9NRM2
Q9NWZ8
Q9NY26
Q9UBY9
Q9UKL3
Q9Y230
Q9Y265
Q9Y2F5
Q9Y2X3
Q9Y3F4
Q9Y4X5
O43390
O43474
O43809
O60479
O75177
O75494
P01100
P04637
P09651
P13498
P15976
P17028
P23246
P31942
P35637
P38159
P48436
P51531
P51532
P52597
P61129
P61978
P98170
P98179
Q01844
Q03252
Q05519
Q08211
Q13148
Q13761
Q14153
Q14157
Q16630
Q2YD98
Q32P51
Q5HY92
Q5T447
Q5TGY3
Q5U5Q3
Q6NSI3
Q86U42
Q8N0Y2
Q8N5P1
Q8N684
Q8NCA5
Q8TC92
Q92804
Q96EP5
Q96FZ7
Q96J87
Q96KG9
Q9BQ04
Q9BUJ2
Q9BWF3
Q9H0B3
Q9H165
Q9H1Q7
Q9H4Z2
Q9NRF2
Q9NTZ6
Q9ULX6
Q9Y2L1
Q9Y580
V9GYY5
O00411
O15091
O75127
O75439
O75616
O95900
P23368
P49406
P82933
Q12849
Q14296
Q53R41
Q5JTZ9
Q6IN84
Q6P087
Q6PI48
Q7L0Y3
Q7L2E3
Q7L8L6
Q8IYB8
Q8N983
Q8NC60
Q8NE86
Q8TCS8
Q8WV60
Q8WVM0
Q92552
Q92665
Q96CM3
Q96E29
Q96I99
Q96TA2
Q99714
Q9H5Q4
Q9HC36
Q9HD33
Q9NUL7
Q9NVV4
Q9NYY8
Q9UI43
Q9Y2R9
A0A087X0T9
A0A0G2JMS6
G2XKQ0
O14980
O15350
O15484
O43309
O60269
O60934
O75150
O75925
O75928
O75943
O76064
P00519
P01023
P04150
P04637
P07196
P08047
P10242
P10415
P11021
P13056
P15408
P15927
P16104
P16333
P18887
P23497
P23511
P27694
P28074
P29590
P33076
P43004
P46100
P51532
P54132
P54198
P54274
P60484
P61956
P62136
P63165
P63279
P78317
Q00987
Q01826
Q06609
Q09472
Q13501
Q13535
Q14149
Q14164
Q14191
Q14974
Q15583
Q15759
Q16236
Q1MSJ5
Q53H80
Q674X7
Q6EEV6
Q6IE36
Q6NT76
Q6NX45
Q6NXT1
Q6PCD5
Q6PEW1
Q6UWX4
Q6VMQ6
Q86UC2
Q86W67
Q8IUH3
Q8IY18
Q8IYT2
Q8IYW5
Q8IZ83
Q8N2W9
Q8NBZ0
Q8NC69
Q8NG27
Q8TD17
Q92793
Q92794
Q969Q0
Q96EB6
Q96EP1
Q96K62
Q96MF7
Q96RE7
Q96RU7
Q96SB8
Q99607
Q9BW11
Q9H2X6
Q9HB58
Q9NQB0
Q9NQM4
Q9NRA8
Q9NS56
Q9NVV9
Q9NX09
Q9UBP6
Q9UBW7
Q9UER7
Q9UFD9
Q9UKA9
Q9ULX6
Q9Y2K1
Q9Y3B7
Q9Y3M2
Q9Y3R0
Q9Y4E5
O00257
O00422
O14980
O15042
O15047
O15234
O15527
O43447
O43660
O43670
O43781
O75152
O75319
O75494
O75533
O75554
O75643
O75925
O75928
O75934
O95232
P02545
P06493
P08579
P08621
P09012
P09651
P09661
P0C7X2
P0DMV8
P10636
P11362
P17066
P17676
P18583
P19544
P22626
P23246
P25490
P25685
P25788
P26599
P35637
P36897
P38919
P40763
P43628
P48729
P49760
P49841
P50222
P50613
P50750
P51531
P51532
P51816
P52298
P52739
P52824
P55199
P57052
P61011
P61326
P61978
P62877
P62995
P63165
P82979
P84090
P84103
Q00839
Q01081
Q01844
Q02040
Q03518
Q04206
Q05066
Q05519
Q06587
Q07955
Q08170
Q09028
Q09161
Q12837
Q12874
Q12905
Q12906
Q13247
Q13427
Q13435
Q13526
Q13535
Q13618
Q13838
Q13905
Q14004
Q14966
Q15007
Q15020
Q15233
Q15287
Q15365
Q15428
Q15459
Q15637
Q16629
Q16630
Q16665
Q2KHN1
Q3SY89
Q3ZCQ8
Q5HYJ3
Q5JVS0
Q66PJ3
Q6P2Q9
Q6P6C2
Q6PJT7
Q6ZRV2
Q75N03
Q7L014
Q86U06
Q86U42
Q86U44
Q86V81
Q86WT6
Q86X55
Q86YP4
Q8IYB3
Q8IYF1
Q8IZD2
Q8IZL2
Q8N3C0
Q8N5F7
Q8N9N2
Q8NDT2
Q8TC56
Q8TF01
Q8WWM7
Q8WXF1
Q8WXI9
Q8WYA6
Q8WYQ5
Q92585
Q92598
Q92766
Q969G3
Q96CJ1
Q96GM8
Q96I25
Q96JC9
Q96JK9
Q96ME1
Q96MU7
Q96N46
Q96QD9
Q96S94
Q96SQ7
Q96T37
Q99459
Q9BWG6
Q9BZ67
Q9BZJ0
Q9C0B1
Q9H093
Q9H0G5
Q9H1I8
Q9H244
Q9H2U1
Q9H2X6
Q9HCG8
Q9NQ29
Q9NR00
Q9NRA8
Q9NVI1
Q9NVM6
Q9NYF8
Q9P0U4
Q9UBU9
Q9UJ70
Q9UJ72
Q9UK58
Q9UKV8
Q9UKY1
Q9ULX6
Q9UMS4
Q9UPS6
Q9UQ35
Q9Y230
Q9Y2N7
Q9Y2W1
Q9Y383
Q9Y3M2
Q9Y3Y2
Q9Y6X2
Q9Y6Y0
O94916
P18615
P24928
Q00613
Q03933
Q07955
Q13242
Q15424
Q16629
Q8IXH7
Q9H3P2
Q9UER7
O94986
Q15154
Q96MT8
Q9NSU2
O43781
P0DMV8
P11021
P11142
P17066
P34931
Q9UHD2
O00571
Q9NQI0
Q14596
Q96BY2
Q9GZQ8
P49721
P54727
P55072
Q05086
Q13283
A7MCY6
Q8NFZ5
Q9H3S7
Q9H6S1
Q08378
Q08379
Q13439
Q15643
Q8IWJ2
Q92805
Q96CN9
A6NKF1
A8K8P3
O00139
O00444
O00459
O00522
O14576
O14757
O14777
O14920
O14965
O14977
O14980
O15013
O15066
O15078
O15111
O15143
O15182
O15360
O15392
O15524
O15527
O43237
O43242
O43293
O43303
O43379
O43504
O43566
O43602
O43670
O43781
O43805
O60260
O60308
O60341
O60447
O60688
O60716
O60729
O60927
O60934
O75116
O75154
O75330
O75367
O75410
O75449
O75496
O75604
O75665
O75935
O76050
O76070
O76095
O94806
O94986
O95072
O95271
O95613
O95684
O95714
O95835
O95954
O95983
O95997
O96017
O96020
P00491
P02511
P04629
P04637
P04899
P05067
P05771
P06239
P06241
P06400
P06493
P06748
P07900
P08047
P08754
P08F94
P09104
P09497
P09874
P0DMV9
P10636
P11137
P11142
P11171
P11309
P11362
P11388
P11801
P13861
P14635
P15056
P16104
P17987
P18206
P18887
P19174
P19784
P20248
P21127
P21964
P22692
P23258
P23297
P24941
P25054
P27361
P27816
P28482
P29144
P29590
P29762
P29966
P30086
P30260
P30305
P30307
P31323
P32121
P33981
P33992
P34947
P35222
P36404
P36405
P36507
P36873
P38646
P38936
P40121
P40763
P41002
P41134
P41208
P41236
P42025
P42229
P42336
P42345
P42574
P42858
P43034
P43487
P45983
P48729
P48730
P49023
P49450
P49454
P49674
P49711
P49768
P49792
P49810
P49815
P49840
P49916
P50281
P50395
P50570
P50995
P51587
P51955
P52209
P52732
P53350
P53667
P53671
P53779
P53985
P53990
P54257
P54652
P55036
P55290
P57058
P58062
P60484
P60510
P61163
P61201
P61236
P61266
P61968
P61981
P62136
P62195
P62258
P62699
P62826
P62993
P63096
P63167
P63208
P68366
P68400
P78396
P78527
P78559
P81274
P84243
Q00613
Q00839
Q00987
Q01844
Q02156
Q02750
Q04759
Q05086
Q05397
Q06323
Q07869
Q08211
Q08AM6
Q12769
Q12798
Q12815
Q12834
Q12923
Q13042
Q13098
Q13099
Q13123
Q13131
Q13153
Q13177
Q13188
Q13200
Q13257
Q13315
Q13363
Q13409
Q13415
Q13416
Q13418
Q13439
Q13464
Q13487
Q13509
Q13526
Q13547
Q13554
Q13555
Q13561
Q13761
Q13772
Q13946
Q14008
Q14191
Q14194
Q14203
Q14204
Q14247
Q14289
Q14511
Q14674
Q14683
Q14789
Q14974
Q14980
Q15004
Q15051
Q15058
Q15139
Q15154
Q15172
Q15208
Q15468
Q155Q3
Q15642
Q15691
Q15797
Q15814
Q15834
Q16181
Q16584
Q16589
Q16667
Q17RS7
Q1MSJ5
Q1W6H9
Q2KHM9
Q2M2Z5
Q3B820
Q3KR16
Q3V6T2
Q49MG5
Q53EZ4
Q5BJF6
Q5EBL4
Q5HY92
Q5JVF3
Q5JVL4
Q5SNT2
Q5SW79
Q5SW96
Q5SZL2
Q5T6F0
Q5TB80
Q5TF58
Q5TZA2
Q5VT06
Q5VU43
Q5VYK3
Q5XKL5
Q66GS9
Q66K74
Q684P5
Q68DK2
Q6IQ19
Q6NUQ1
Q6P2H3
Q6QNY1
Q6UVJ0
Q6VVB1
Q70YC5
Q76KD6
Q76N32
Q7L5N1
Q7L5Y9
Q7L9L4
Q7Z7A1
Q86SG6
Q86SQ7
Q86VQ0
Q86W56
Q86XR8
Q86YS3
Q86YT6
Q8IW41
Q8IWZ6
Q8IXJ6
Q8IYM1
Q8IYM9
Q8IZT6
Q8N0Z3
Q8N137
Q8N157
Q8N3I7
Q8N4N8
Q8N7H5
Q8N8E3
Q8NA72
Q8NBT0
Q8NCW5
Q8NEM0
Q8NFJ9
Q8NHQ1
Q8NHV4
Q8NI51
Q8TAM2
Q8TAP6
Q8TAP9
Q8TBZ0
Q8TC44
Q8TC76
Q8TCU4
Q8TD31
Q8TDC3
Q8TDX7
Q8TEP8
Q8TEY7
Q8TF09
Q8TF40
Q8WUM4
Q8WWK9
Q8WWW0
Q8WXU2
Q8WXW3
Q92547
Q92558
Q92569
Q92574
Q92597
Q92834
Q92905
Q92974
Q96CT7
Q96CW5
Q96DN5
Q96EA4
Q96ED9
Q96EZ8
Q96F15
Q96FC9
Q96FI4
Q96FJ2
Q96GE4
Q96HJ3
Q96IF1
Q96JB5
Q96JE9
Q96JM3
Q96JN8
Q96K30
Q96KG9
Q96KN7
Q96L34
Q96LK0
Q96MT8
Q96NB1
Q96NS1
Q96PF2
Q96Q42
Q96Q89
Q96QA6
Q96R06
Q96RK4
Q96RT7
Q96RT8
Q96S59
Q96SN8
Q96ST8
Q99075
Q99460
Q99569
Q99627
Q99689
Q99728
Q99816
Q99828
Q99996
Q9BQ89
Q9BR77
Q9BRK4
Q9BSJ2
Q9BT25
Q9BT78
Q9BTV5
Q9BTW9
Q9BUB5
Q9BUF7
Q9BV73
Q9BVA0
Q9BVJ7
Q9BVV6
Q9BW19
Q9BW27
Q9BXH1
Q9BXL8
Q9BY41
Q9BYG4
Q9BYV8
Q9BZD4
Q9BZL6
Q9BZV1
Q9C099
Q9C0D2
Q9C0F1
Q9GZM8
Q9H0K1
Q9H0N0
Q9H1A4
Q9H228
Q9H4B4
Q9H4B6
Q9H4X1
Q9H8S9
Q9H8X2
Q9H9Q2
Q9HAU4
Q9HC77
Q9HC98
Q9NP97
Q9NPB6
Q9NPJ1
Q9NPQ8
Q9NRA0
Q9NRI5
Q9NRM7
Q9NS23
Q9NS56
Q9NS87
Q9NTK5
Q9NV58
Q9NVR7
Q9NVX0
Q9NXG0
Q9NXR1
Q9NY27
Q9NYA1
Q9NYH9
Q9NYP3
Q9NYY3
Q9NZJ0
Q9P0L9
Q9P1Z0
Q9P209
Q9UBK9
Q9UBP0
Q9UBW8
Q9UGJ1
Q9UHD8
Q9UI95
Q9UJT0
Q9UJT1
Q9UJT2
Q9UK80
Q9UKA4
Q9UL19
Q9UL46
Q9ULD2
Q9ULJ1
Q9UM11
Q9UM13
Q9UNH5
Q9UNK0
Q9UNS2
Q9UPN4
Q9UPS8
Q9UPV0
Q9UQB9
Q9UQE7
Q9Y230
Q9Y265
Q9Y277
Q9Y2H1
Q9Y2I6
Q9Y2T1
Q9Y2X7
Q9Y3E7
Q9Y3M2
Q9Y3P9
Q9Y496
Q9Y592
Q9Y696
Q9Y6D9
Q9Y6F1
Q9Y6G9
Q9Y6K9
Q14671
Q8TB72
O94850
Q9Y5K6
P02708
P11230
P12814
P17655
Q14118
Q9UPN3
A0A0U1RRE5
A0AV96
A1L020
A2A288
A5YKK6
A7E2Y1
A8MUS3
A8MXP9
B0QZK4
B4DEB1
B4DR52
B4DXZ6
B4DZC3
B7Z4B8
B8ZZ50
B9A064
C9JLW8
C9JNW5
D6R9P3
D6RBW1
E1P5S2
E3W994
E5RJN7
E7EPB3
E7EPN9
E7EQV9
E7ERS3
E7ET15
E9PF63
E9PJD9
F2Z388
F5GY55
F5H3Y4
F8W881
F8W930
G3V153
G3V4C1
G5E9W3
G8JLB6
H0Y2W2
H0Y368
H0Y6E7
H0Y8A4
H0Y8G5
H0Y8N5
H0Y945
H0Y969
H0YEH2
H0YHA7
H0YIB4
H0YMD0
H3BLV9
H3BQ34
H7C0B1
I1E4Y6
I3L2C7
I3L2L5
I3L3P7
J3KQN4
J3KRX5
J3KSP2
J3KTA4
J3KTE4
J3KTL2
J3QK89
J3QR07
J3QSV6
O00159
O00165
O00411
O00425
O00541
O00567
O00571
O00584
O14717
O14744
O14787
O14979
O15063
O15116
O15226
O15234
O43143
O43306
O43347
O43390
O60237
O60264
O60333
O60506
O60573
O60812
O75175
O75179
O75340
O75367
O75533
O75534
O75593
O75884
O94832
O95429
O95628
O95758
O95793
O95985
P01876
P02647
P02768
P02787
P04040
P04406
P04792
P05089
P05109
P05141
P05388
P06702
P06730
P07814
P07910
P08238
P08708
P08865
P09012
P0C0S8
P0DJD0
P0DMV8
P0DMV9
P0DOY2
P0DOY3
P10412
P11021
P11142
P11388
P11940
P12036
P12236
P12273
P12882
P12956
P13010
P14866
P15880
P16989
P18124
P19338
P19474
P20226
P20700
P22087
P22626
P23396
P25311
P25398
P26196
P26368
P26373
P26599
P26651
P27635
P29508
P29558
P31151
P31483
P33993
P35251
P35268
P35580
P35637
P36578
P36897
P38159
P38646
P38919
P39023
P39748
P40429
P42694
P43243
P43628
P45983
P46777
P46781
P47710
P47929
P47974
P48634
P49756
P49792
P51114
P51116
P52272
P52298
P52306
P52597
P54652
P55795
P55884
P60033
P60709
P60866
P61247
P61254
P61353
P61626
P61927
P62081
P62241
P62249
P62263
P62269
P62277
P62280
P62310
P62312
P62424
P62495
P62701
P62753
P62805
P62829
P62841
P62847
P62851
P62899
P62906
P62910
P62913
P62979
P62995
P63162
P67809
P68363
P78312
P78344
P84103
P98175
Q00577
Q00839
Q01082
Q01085
Q01469
Q01543
Q01804
Q01844
Q02241
Q02413
Q02880
Q03252
Q04637
Q06787
Q07021
Q08211
Q08554
Q09161
Q09666
Q10570
Q12756
Q12796
Q12849
Q12905
Q12906
Q12926
Q12955
Q12986
Q13148
Q13151
Q13206
Q13247
Q13283
Q13310
Q13435
Q13601
Q13813
Q13895
Q14151
Q14157
Q14201
Q14444
Q14671
Q14683
Q14684
Q14690
Q14692
Q14694
Q14980
Q15020
Q15029
Q15032
Q15149
Q15154
Q15233
Q15365
Q15366
Q15393
Q15434
Q15717
Q15759
Q16352
Q16629
Q16630
Q16637
Q16775
Q17RY0
Q3MHD2
Q49A26
Q4G0T1
Q504Q3
Q53EP0
Q53F19
Q53GS7
Q562R1
Q56UN5
Q58A45
Q5BKZ1
Q5JNZ5
Q5JSZ5
Q5JW30
Q5QPL9
Q5T6F2
Q5T7N2
Q5TAX3
Q5TC82
Q5VTE0
Q5VZ46
Q5VZF2
Q5W0B1
Q659C4
Q6E0U4
Q6MZQ0
Q6P158
Q6P2E9
Q6P2H3
Q6PKG0
Q6UN15
